ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Santiago,Chile Open,26/02/2024,ATP250,Indoor,Clay,1st Round,3,Martinez P.,Passaro F.,101,224,596,271,6,4,6,1,,,,,,,2,0,Completed,1.5,2.63,1.45,2.95,1.5,3.03,1.44,2.74
18,Santiago,Chile Open,26/02/2024,ATP250,Indoor,Clay,1st Round,3,Coria F.,Molcan A.,88,135,678,473,6,1,7,6,,,,,,,2,0,Completed,2.2,1.67,2.13,1.79,2.24,1.8,2.14,1.69
18,Santiago,Chile Open,26/02/2024,ATP250,Indoor,Clay,1st Round,3,Diaz Acosta F.,Cachin P.,52,78,948,754,5,7,6,3,7,6,,,,,2,1,Completed,1.44,2.75,1.46,2.9,1.47,2.9,1.45,2.7
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Moutet C.,Carballes Baena R.,140,66,464,851,6,3,5,7,6,2,,,,,2,1,Completed,2,1.8,2.06,1.84,2.06,1.84,1.99,1.79
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Seyboth Wild T.,Burruchaga R.,73,159,802,397,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,1.61,2.44,1.61,2.5,1.56,2.38
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Cerundolo J.M.,Hanfmann Y.,161,49,393,967,3,6,6,3,7,5,,,,,2,1,Completed,2.38,1.57,2.44,1.62,2.44,1.62,2.35,1.57
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Munar J.,Zapata Miralles B.,70,143,816,457,6,4,6,1,,,,,,,2,0,Completed,1.44,2.75,1.49,2.78,1.53,2.82,1.46,2.66
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Ramos-Vinolas A.,Dellien H.,104,157,583,399,6,3,6,2,,,,,,,2,0,Completed,2.1,1.73,2.14,1.78,2.14,1.78,2.08,1.72
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Tirante T.A.,Fonseca J.,100,343,598,149,7,5,7,6,,,,,,,2,0,Completed,2.2,1.67,2.25,1.71,2.25,1.73,2.15,1.68
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Varillas J.P.,Comesana F.,119,114,537,552,6,2,3,6,6,1,,,,,2,1,Completed,1.73,2.1,1.8,2.11,1.86,2.12,1.78,2
18,Santiago,Chile Open,27/02/2024,ATP250,Indoor,Clay,1st Round,3,Barrios M.,Garin C.,111,83,563,710,7,6,7,5,,,,,,,2,0,Completed,3,1.4,3.04,1.43,3.04,1.45,2.86,1.41
18,Santiago,Chile Open,28/02/2024,ATP250,Indoor,Clay,1st Round,3,Darderi L.,Bagnis F.,80,148,747,447,7,6,6,7,7,6,,,,,2,1,Completed,1.53,2.5,1.54,2.62,1.54,2.65,1.5,2.54
18,Santiago,Chile Open,28/02/2024,ATP250,Indoor,Clay,2nd Round,3,Martinez P.,Diaz Acosta F.,101,52,596,948,7,6,6,7,6,1,,,,,2,1,Completed,2.38,1.57,2.44,1.63,2.44,1.63,2.35,1.57
18,Santiago,Chile Open,28/02/2024,ATP250,Indoor,Clay,2nd Round,3,Moutet C.,Tirante T.A.,140,100,464,598,6,3,6,7,6,2,,,,,2,1,Completed,1.73,2.1,1.61,2.49,1.74,2.49,1.65,2.2
18,Santiago,Chile Open,28/02/2024,ATP250,Indoor,Clay,2nd Round,3,Fils A.,Seyboth Wild T.,44,73,1028,802,6,3,6,3,,,,,,,2,0,Completed,1.73,2.1,1.78,2.16,1.85,2.16,1.77,2.01
18,Santiago,Chile Open,28/02/2024,ATP250,Indoor,Clay,2nd Round,3,Jarry N.,Coria F.,22,88,1775,678,7,6,6,2,,,,,,,2,0,Completed,1.3,3.5,1.34,3.58,1.34,3.6,1.3,3.42
18,Santiago,Chile Open,29/02/2024,ATP250,Indoor,Clay,2nd Round,3,Darderi L.,Cerundolo J.M.,80,161,747,393,6,3,3,6,6,3,,,,,2,1,Completed,1.44,2.75,1.46,2.94,1.5,2.94,1.44,2.74
18,Santiago,Chile Open,29/02/2024,ATP250,Indoor,Clay,2nd Round,3,Munar J.,Ramos-Vinolas A.,70,104,816,583,6,3,6,1,,,,,,,2,0,Completed,1.36,3.2,1.4,3.22,1.4,3.22,1.36,3.06
18,Santiago,Chile Open,29/02/2024,ATP250,Indoor,Clay,2nd Round,3,Baez S.,Varillas J.P.,21,119,1825,537,4,6,6,4,6,2,,,,,2,1,Completed,1.29,3.75,1.28,4.07,1.3,4.1,1.25,3.8
18,Santiago,Chile Open,29/02/2024,ATP250,Indoor,Clay,2nd Round,3,Tabilo A.,Barrios M.,51,111,951,563,6,2,7,5,,,,,,,2,0,Completed,1.44,2.75,1.47,2.91,1.47,2.91,1.44,2.72
18,Santiago,Chile Open,01/03/2024,ATP250,Indoor,Clay,Quarterfinals,3,Baez S.,Munar J.,21,70,1825,816,6,4,6,4,,,,,,,2,0,Completed,1.5,2.63,1.54,2.67,1.54,2.67,1.5,2.55
18,Santiago,Chile Open,01/03/2024,ATP250,Indoor,Clay,Quarterfinals,3,Martinez P.,Fils A.,101,44,596,1028,6,3,6,7,6,2,,,,,2,1,Completed,2.75,1.44,2.68,1.54,2.75,1.54,2.58,1.49
18,Santiago,Chile Open,01/03/2024,ATP250,Indoor,Clay,Quarterfinals,3,Tabilo A.,Darderi L.,51,80,951,747,6,0,7,5,,,,,,,2,0,Completed,1.62,2.3,1.75,2.22,1.75,2.35,1.66,2.18
18,Santiago,Chile Open,01/03/2024,ATP250,Indoor,Clay,Quarterfinals,3,Moutet C.,Jarry N.,140,22,464,1775,7,6,7,6,,,,,,,2,0,Completed,4.33,1.22,4.78,1.23,4.78,1.23,4.27,1.21
18,Santiago,Chile Open,02/03/2024,ATP250,Indoor,Clay,Semifinals,3,Tabilo A.,Moutet C.,51,140,951,464,4,6,6,4,7,5,,,,,2,1,Completed,1.5,2.63,1.57,2.58,1.58,2.63,1.52,2.5
18,Santiago,Chile Open,03/03/2024,ATP250,Indoor,Clay,Semifinals,3,Baez S.,Martinez P.,21,101,1825,596,6,4,6,2,,,,,,,2,0,Completed,1.33,3.4,1.43,3.07,1.44,3.4,1.36,3.04
18,Santiago,Chile Open,03/03/2024,ATP250,Indoor,Clay,The Final,3,Baez S.,Tabilo A.,21,51,1825,951,3,6,6,0,6,4,,,,,2,1,Completed,1.5,2.63,1.57,2.59,1.57,2.63,1.52,2.49
