ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
15,Santiago,Chile Open,23/02/2026,ATP250,Indoor,Clay,1st Round,3,Hanfmann Y.,Lajovic D.,81,116,695,541,6,0,6,3,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.42,1.56,2.36,1.68,2.46
15,Santiago,Chile Open,23/02/2026,ATP250,Indoor,Clay,1st Round,3,Pellegrino A.,Barrena A.,137,183,447,336,6,2,2,6,6,1,,,,,2,1,Completed,1.8,2,,,1.83,2.04,1.78,1.98,1.91,2.06
15,Santiago,Chile Open,23/02/2026,ATP250,Indoor,Clay,1st Round,3,Comesana F.,Martinez P.,82,101,694,586,6,4,2,6,7,6,,,,,2,1,Completed,1.44,2.75,,,1.54,2.75,1.51,2.51,1.58,2.68
15,Santiago,Chile Open,23/02/2026,ATP250,Indoor,Clay,1st Round,3,Prizmic D.,Jarry N.,120,155,529,391,6,3,5,7,6,2,,,,,2,1,Completed,1.44,2.75,,,1.5,3,1.46,2.68,1.55,2.78
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Gaubas V.,Soto M.,107,316,558,157,6,2,6,3,,,,,,,2,0,Completed,1.25,4,,,1.28,4.25,1.24,3.88,1.26,4.6
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Moller E.,Burruchaga R.,127,96,509,617,7,6,0,6,6,4,,,,,2,1,Completed,2.75,1.44,,,3,1.48,2.79,1.42,3.05,1.47
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Nava E.,Berrettini M.,79,57,710,910,6,3,6,4,,,,,,,2,0,Completed,3.5,1.3,,,3.5,1.33,3.44,1.3,3.85,1.35
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Navone M.,Kopriva V.,77,65,725,848,3,6,6,0,3,1,,,,,1,1,Retired,1.53,2.5,,,1.57,2.5,1.54,2.41,1.59,2.66
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Tirante T.A.,Buse I.,76,66,739,848,2,6,7,6,7,6,,,,,2,1,Completed,1.62,2.3,,,1.65,2.35,1.6,2.27,1.69,2.42
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Garin C.,Cerundolo J.M.,93,70,656,781,3,6,6,3,6,3,,,,,2,1,Completed,2.3,1.62,,,2.4,1.62,2.31,1.59,2.46,1.67
15,Santiago,Chile Open,24/02/2026,ATP250,Indoor,Clay,1st Round,3,Vallejo D.,Passaro F.,106,144,561,431,6,3,3,3,,,,,,,1,0,Retired,1.57,2.38,,,1.62,2.4,1.6,2.28,1.67,2.48
15,Santiago,Chile Open,25/02/2026,ATP250,Indoor,Clay,1st Round,3,Tabilo A.,Barrios M.,42,112,1113,551,7,5,6,3,,,,,,,2,0,Completed,1.57,2.38,,,1.65,2.4,1.59,2.32,1.69,2.42
15,Santiago,Chile Open,25/02/2026,ATP250,Indoor,Clay,2nd Round,3,Hanfmann Y.,Ugo Carabelli C.,81,59,695,880,6,4,6,3,,,,,,,2,0,Completed,1.57,2.38,,,1.6,2.4,1.56,2.34,1.6,2.6
15,Santiago,Chile Open,25/02/2026,ATP250,Indoor,Clay,2nd Round,3,Pellegrino A.,Comesana F.,137,82,447,694,7,6,6,7,6,3,,,,,2,1,Completed,3,1.4,,,3,1.42,2.84,1.4,3.25,1.44
15,Santiago,Chile Open,25/02/2026,ATP250,Indoor,Clay,2nd Round,3,Gaubas V.,Prizmic D.,107,120,558,529,5,7,7,5,6,3,,,,,2,1,Completed,3.2,1.36,,,3.2,1.38,3.03,1.36,3.4,1.41
15,Santiago,Chile Open,25/02/2026,ATP250,Indoor,Clay,2nd Round,3,Darderi L.,Navone M.,21,77,1904,725,6,3,3,6,6,4,,,,,2,1,Completed,1.4,3,,,1.44,3,1.41,2.82,1.47,3.05
15,Santiago,Chile Open,26/02/2026,ATP250,Indoor,Clay,2nd Round,3,Nava E.,Vallejo D.,79,106,710,561,7,5,6,3,,,,,,,2,0,Completed,2.2,1.67,,,2.3,1.67,2.23,1.63,2.66,1.59
15,Santiago,Chile Open,26/02/2026,ATP250,Indoor,Clay,2nd Round,3,Cerundolo F.,Moller E.,19,127,2170,509,6,2,6,2,,,,,,,2,0,Completed,1.14,5.5,,,1.16,5.5,1.15,5.17,1.18,6.2
15,Santiago,Chile Open,26/02/2026,ATP250,Indoor,Clay,2nd Round,3,Baez S.,Garin C.,52,93,1005,656,7,6,1,6,7,5,,,,,2,1,Completed,1.4,3,,,1.41,3,1.39,2.94,1.42,3.3
15,Santiago,Chile Open,27/02/2026,ATP250,Indoor,Clay,2nd Round,3,Tabilo A.,Tirante T.A.,42,76,1113,739,4,6,6,3,6,3,,,,,2,1,Completed,1.36,3.2,,,1.41,4,1.37,3.03,1.4,3.4
15,Santiago,Chile Open,27/02/2026,ATP250,Indoor,Clay,Quarterfinals,3,Hanfmann Y.,Gaubas V.,81,107,695,558,3,6,6,2,6,2,,,,,2,1,Completed,1.3,3.5,,,1.36,3.5,1.32,3.27,1.37,3.6
15,Santiago,Chile Open,27/02/2026,ATP250,Indoor,Clay,Quarterfinals,3,Cerundolo F.,Nava E.,19,79,2170,710,6,1,6,1,,,,,,,2,0,Completed,1.17,5,,,1.2,5,1.18,4.67,1.21,5.5
