ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bellucci M.,Walton A.,69,77,857,802,7,6,6,1,,,,,,,2,0,Completed,1.8,2,1.89,2,1.8,2.04,1.79,1.99,1.87,2.12
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Nardi L.,Ofner S.,88,138,727,453,3,6,6,3,6,2,,,,,2,1,Completed,1.67,2.2,1.66,2.34,1.67,2.3,1.61,2.26,1.68,2.46
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Munar J.,Fucsovics M.,41,53,1138,984,4,6,7,5,6,1,,,,,2,1,Completed,2.1,1.73,2.04,1.85,2.1,1.79,2.07,1.73,2.3,1.75
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,Muller A.,83,39,759,1205,6,7,6,1,6,1,,,,,2,1,Completed,2,1.8,1.95,1.93,2,1.85,1.97,1.81,2.12,1.89
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Thompson J.,Holmgren A.,85,178,745,315,4,6,6,3,6,4,,,,,2,1,Completed,1.4,3,1.41,3.1,1.45,3,1.43,2.75,1.5,2.96
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Altmaier D.,Schoolkate T.,49,96,1043,654,6,3,6,4,,,,,,,2,0,Completed,2,1.8,1.97,1.9,2,1.84,1.95,1.82,2.02,1.97
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Berrettini M.,60,59,922,925,7,5,7,6,,,,,,,2,0,Completed,2.2,1.67,2.32,1.67,2.25,1.7,2.2,1.65,2.38,1.68
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Basilashvili N.,94,100,664,618,6,3,7,6,,,,,,,2,0,Completed,2,1.8,2.01,1.86,2.05,1.81,2,1.77,2.1,1.88
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Nishioka Y.,Shevchenko A.,173,89,324,727,6,1,6,2,,,,,,,2,0,Completed,1.67,2.2,1.72,2.23,1.73,2.2,1.71,2.11,1.85,2.12
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Vacherot V.,Djere L.,204,82,263,766,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.55,2.61,1.53,2.6,1.51,2.51,1.56,2.72
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bergs Z.,Korda S.,44,63,1129,910,6,4,7,5,,,,,,,2,0,Completed,3,1.4,2.88,1.47,3,1.42,2.84,1.41,3.15,1.46
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Baez S.,Zhang Zh.,42,368,1135,135,2,6,6,3,6,4,,,,,2,1,Completed,2,1.8,2.22,1.72,2.1,1.84,2.04,1.76,2.16,1.84
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Hanfmann Y.,Sonego L.,150,46,394,1105,2,6,6,3,6,1,,,,,2,1,Completed,2.3,1.62,2.38,1.64,2.34,1.67,2.24,1.63,2.34,1.73
51,Shanghai,Shanghai Masters,01/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Marozsan F.,Wawrinka S.,52,131,1010,502,6,1,4,6,6,4,,,,,2,1,Completed,1.4,3,1.43,3.01,1.42,3,1.4,2.88,1.47,3.05
51,Shanghai,Shanghai Masters,02/10/2025,Masters 1000,Outdoor,Hard,1st Round,3,Ugo Carabelli C.,Atmane T.,45,61,1123,914,4,4,,,,,,,,,0,0,Retired,4.5,1.2,4.13,1.27,4.5,1.24,4.25,1.21,4.3,1.28
