ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
59,Stockholm,Nordic Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Stricker D.,Kovacevic A.,317,90,162,624,6,4,5,7,6,4,,,,,2,1,Completed,1.8,2,1.96,1.93,1.96,2.02,1.87,1.91
59,Stockholm,Nordic Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Sonego L.,Huesler M.A.,50,152,1046,383,7,6,7,5,,,,,,,2,0,Completed,1.8,2,1.88,2,1.88,2.12,1.81,1.98
59,Stockholm,Nordic Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Griekspoor T.,Kotov P.,37,59,1345,907,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.53,2.78,1.47,2.65
59,Stockholm,Nordic Open,14/10/2024,ATP250,Indoor,Hard,1st Round,3,Berrettini M.,Darderi L.,42,44,1245,1228,6,4,6,3,,,,,,,2,0,Completed,1.13,6,1.14,6.83,1.15,6.83,1.13,5.86
59,Stockholm,Nordic Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Fearnley J.,Moutet C.,99,71,588,764,6,2,7,6,,,,,,,2,0,Completed,1.4,3,1.42,3.09,1.44,3.09,1.4,2.9
59,Stockholm,Nordic Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Norrie C.,55,52,965,989,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.88,2.02,1.95,2.02,1.84,1.94
59,Stockholm,Nordic Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Djere L.,Martinez P.,113,39,516,1321,6,2,6,0,,,,,,,2,0,Completed,1.44,2.75,1.52,2.71,1.56,2.78,1.49,2.56
59,Stockholm,Nordic Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Jarry N.,Ymer E.,34,252,1385,219,2,6,6,4,7,6,,,,,2,1,Completed,1.67,2.2,1.69,2.28,1.69,2.31,1.64,2.23
59,Stockholm,Nordic Open,15/10/2024,ATP250,Indoor,Hard,1st Round,3,Muller A.,Borg L.,70,590,785,57,6,3,7,6,,,,,,,2,0,Completed,1.1,7,1.13,7.1,1.13,7.6,1.1,6.8
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Tirante T.A.,64,121,845,484,7,6,6,2,,,,,,,2,0,Completed,1.2,4.5,1.28,4.05,1.28,4.54,1.22,4.1
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Wawrinka S.,Nakashima B.,217,38,263,1340,6,4,6,4,,,,,,,2,0,Completed,3,1.4,3.18,1.4,3.21,1.43,2.98,1.38
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,1st Round,3,Halys Q.,Nagal S.,95,78,603,691,6,0,6,4,,,,,,,2,0,Completed,1.2,4.5,1.27,4.18,1.27,4.5,1.23,4.01
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Griekspoor T.,Fearnley J.,37,99,1345,588,7,6,6,3,,,,,,,2,0,Completed,1.73,2.1,1.72,2.25,1.73,2.27,1.69,2.14
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Stricker D.,Berrettini M.,317,42,162,1245,7,6,6,4,,,,,,,2,0,Completed,4.5,1.2,4.84,1.22,4.84,1.23,4.31,1.21
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Ruud C.,Sonego L.,8,50,3885,1046,6,3,7,6,,,,,,,2,0,Completed,1.57,2.38,1.63,2.43,1.63,2.54,1.57,2.37
59,Stockholm,Nordic Open,16/10/2024,ATP250,Indoor,Hard,2nd Round,3,Paul T.,Djere L.,13,113,3055,516,6,2,7,6,,,,,,,2,0,Completed,1.22,4.33,1.26,4.37,1.27,4.38,1.23,4.08
59,Stockholm,Nordic Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Kecmanovic M.,Jarry N.,55,34,965,1385,6,4,4,6,7,6,,,,,2,1,Completed,1.44,2.75,1.54,2.67,1.54,2.75,1.49,2.59
59,Stockholm,Nordic Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Wawrinka S.,Davidovich Fokina A.,217,64,263,845,6,4,3,6,7,5,,,,,2,1,Completed,2.38,1.57,2.4,1.65,2.4,1.66,2.31,1.6
59,Stockholm,Nordic Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Rublev A.,Muller A.,7,70,4110,785,6,4,6,1,,,,,,,2,0,Completed,1.2,4.5,1.2,5.25,1.22,5.25,1.19,4.53
59,Stockholm,Nordic Open,17/10/2024,ATP250,Indoor,Hard,2nd Round,3,Dimitrov G.,Halys Q.,10,95,3580,603,7,6,6,3,,,,,,,2,0,Completed,1.25,4,1.25,4.4,1.26,4.4,1.24,4.02
59,Stockholm,Nordic Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Paul T.,Kecmanovic M.,13,55,3055,965,7,6,6,2,,,,,,,2,0,Completed,1.29,3.75,1.31,3.86,1.34,3.86,1.28,3.58
59,Stockholm,Nordic Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Wawrinka S.,Rublev A.,217,7,263,4110,7,6,7,6,,,,,,,2,0,Completed,5,1.17,5.42,1.19,5.42,1.22,4.67,1.19
59,Stockholm,Nordic Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Griekspoor T.,Ruud C.,37,8,1345,3885,7,5,7,6,,,,,,,2,0,Completed,2,1.8,2.09,1.83,2.14,1.86,2.02,1.78
59,Stockholm,Nordic Open,18/10/2024,ATP250,Indoor,Hard,Quarterfinals,3,Dimitrov G.,Stricker D.,10,317,3580,162,6,3,6,2,,,,,,,2,0,Completed,1.2,4.5,1.24,4.58,1.24,4.58,1.22,4.25
59,Stockholm,Nordic Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Paul T.,Wawrinka S.,13,217,3055,263,6,3,6,2,,,,,,,2,0,Completed,1.2,4.5,1.24,4.66,1.25,4.66,1.21,4.28
59,Stockholm,Nordic Open,19/10/2024,ATP250,Indoor,Hard,Semifinals,3,Dimitrov G.,Griekspoor T.,10,37,3580,1345,2,6,7,5,6,4,,,,,2,1,Completed,1.4,3,1.43,3.05,1.45,3.05,1.41,2.88
59,Stockholm,Nordic Open,20/10/2024,ATP250,Indoor,Hard,The Final,3,Paul T.,Dimitrov G.,13,10,3055,3580,6,4,6,3,,,,,,,2,0,Completed,1.67,2.2,1.77,2.18,1.77,2.25,1.68,2.17
