ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
54,Stockholm,Nordic Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Muller A.,49,43,1066,1165,6,4,6,1,,,,,,,2,0,Completed,1.53,2.5,1.56,2.57,1.56,2.5,1.53,2.46,1.61,2.6
54,Stockholm,Nordic Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Fearnley J.,Griekspoor T.,81,27,764,1615,6,3,6,7,7,6,,,,,2,1,Completed,2.75,1.44,2.74,1.51,2.75,1.45,2.7,1.44,2.9,1.51
54,Stockholm,Nordic Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Korda S.,Popyrin A.,60,48,920,1090,6,7,6,1,6,3,,,,,2,1,Completed,1.44,2.75,1.52,2.71,1.5,2.75,1.48,2.6,1.55,2.78
54,Stockholm,Nordic Open,13/10/2025,ATP250,Indoor,Hard,1st Round,3,Borg L.,Ofner S.,622,140,57,463,6,3,6,4,,,,,,,2,0,Completed,4.33,1.22,5.01,1.21,4.5,1.22,4.37,1.21,5.4,1.21
54,Stockholm,Nordic Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Etcheverry T.,Lajal M.,63,149,880,423,7,6,6,7,6,3,,,,,2,1,Completed,2.1,1.73,2.1,1.79,2.24,1.75,2.15,1.68,2.28,1.77
54,Stockholm,Nordic Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Majchrzak K.,Misolic F.,75,95,818,663,6,2,6,2,,,,,,,2,0,Completed,1.4,3,1.39,3.17,1.41,3.5,1.39,2.97,1.46,3.1
54,Stockholm,Nordic Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Cilic M.,Budkov Kjaer N.,92,136,684,473,7,5,6,3,,,,,,,2,0,Completed,1.91,1.91,1.91,1.98,1.95,1.91,1.9,1.86,2,1.96
54,Stockholm,Nordic Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Ymer E.,Ymer M.,243,617,225,57,6,2,7,6,,,,,,,2,0,Completed,2.2,1.67,2.26,1.71,2.2,1.76,2.11,1.71,2.26,1.76
54,Stockholm,Nordic Open,14/10/2025,ATP250,Indoor,Hard,1st Round,3,Berrettini M.,Zeppieri G.,61,160,905,362,6,4,6,2,,,,,,,2,0,Completed,1.44,2.75,1.5,2.76,1.55,2.75,1.47,2.64,1.51,2.86
54,Stockholm,Nordic Open,15/10/2025,ATP250,Indoor,Hard,1st Round,3,Kovacevic A.,Ugo Carabelli C.,69,50,862,1053,4,6,7,5,4,0,,,,,1,1,Retired,1.36,3.2,1.36,3.43,1.38,3.2,1.36,3.06,1.43,3.25
