ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,Stuttgart,Stuttgart Open,10/06/2024,ATP250,Outdoor,Grass,1st Round,3,Draper J.,Ofner S.,40,52,1131,933,7,6,7,6,,,,,,,2,0,Completed,1.25,4,1.26,4.08,1.27,4.17,1.25,3.86
33,Stuttgart,Stuttgart Open,10/06/2024,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,,,,,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02
33,Stuttgart,Stuttgart Open,10/06/2024,ATP250,Outdoor,Grass,1st Round,3,Hanfmann Y.,Squire H.,91,178,646,344,6,3,6,3,,,,,,,2,0,Completed,1.67,2.2,1.71,2.21,1.81,2.3,1.66,2.18
33,Stuttgart,Stuttgart Open,10/06/2024,ATP250,Outdoor,Grass,1st Round,3,Medjedovic H.,Marozsan F.,131,42,497,1122,6,7,6,1,6,4,,,,,2,1,Completed,1.57,2.38,1.65,2.31,1.68,2.38,1.61,2.28
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Musetti L.,Mpetshi G.,30,66,1290,786,7,6,7,6,,,,,,,2,0,Completed,1.67,2.2,1.78,2.09,1.78,2.22,1.72,2.1
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Duckworth J.,Herbert P.H.,101,139,611,448,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.82,2.05,1.83,2.1,1.79,2
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Eubanks C.,70,45,750,1017,7,6,6,4,,,,,,,2,0,Completed,1.57,2.38,1.62,2.38,1.69,2.42,1.57,2.34
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Berrettini M.,Safiullin R.,95,43,630,1097,7,6,5,7,7,5,,,,,2,1,Completed,1.57,2.38,1.57,2.5,1.59,2.62,1.55,2.41
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Rinderknech A.,Michelsen A.,67,61,777,832,6,4,7,5,,,,,,,2,0,Completed,2.5,1.53,2.52,1.56,2.54,1.62,2.42,1.55
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Shapovalov D.,Martineau M.,117,179,550,344,7,6,7,5,,,,,,,2,0,Completed,1.2,4.5,1.22,4.68,1.25,4.72,1.21,4.26
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Murray A.,54,97,910,623,6,3,6,4,,,,,,,2,0,Completed,2.38,1.57,2.37,1.66,2.4,1.68,2.27,1.62
33,Stuttgart,Stuttgart Open,11/06/2024,ATP250,Outdoor,Grass,1st Round,3,Struff J.L.,Cobolli F.,35,50,1180,955,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.18,5.35,1.2,5.5,1.17,4.88
33,Stuttgart,Stuttgart Open,12/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Musetti L.,Koepfer D.,30,65,1290,801,6,7,7,6,6,3,,,,,2,1,Completed,1.57,2.38,1.64,2.35,1.66,2.5,1.57,2.36
33,Stuttgart,Stuttgart Open,12/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Tiafoe F.,Hanfmann Y.,28,91,1590,646,7,5,7,6,,,,,,,2,0,Completed,1.5,2.63,1.49,2.76,1.51,2.8,1.46,2.67
33,Stuttgart,Stuttgart Open,12/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Bublik A.,Medjedovic H.,17,131,2150,497,6,1,7,6,,,,,,,2,0,Completed,1.57,2.38,1.6,2.45,1.62,2.51,1.58,2.35
33,Stuttgart,Stuttgart Open,12/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Draper J.,Giron M.,40,54,1131,910,6,4,3,6,6,3,,,,,2,1,Completed,1.3,3.5,1.3,3.77,1.34,3.82,1.3,3.49
33,Stuttgart,Stuttgart Open,13/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Nakashima B.,Gasquet R.,70,116,750,555,6,3,6,4,,,,,,,2,0,Completed,1.3,3.5,1.34,3.6,1.36,3.67,1.31,3.36
33,Stuttgart,Stuttgart Open,13/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Struff J.L.,Rinderknech A.,35,67,1180,777,6,4,7,6,,,,,,,2,0,Completed,1.22,4.33,1.27,4.24,1.27,4.42,1.23,4.08
33,Stuttgart,Stuttgart Open,13/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Berrettini M.,Shapovalov D.,95,117,630,550,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.62,2.45,1.63,2.45,1.6,2.3
33,Stuttgart,Stuttgart Open,13/06/2024,ATP250,Outdoor,Grass,2nd Round,3,Duckworth J.,Shelton B.,101,14,611,2590,7,6,4,6,6,3,,,,,2,1,Completed,3,1.4,3,1.45,3.02,1.45,2.87,1.4
33,Stuttgart,Stuttgart Open,14/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Draper J.,Tiafoe F.,40,28,1131,1590,5,7,6,4,7,6,,,,,2,1,Completed,1.44,2.75,1.53,2.65,1.55,2.81,1.48,2.61
33,Stuttgart,Stuttgart Open,14/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Nakashima B.,Struff J.L.,70,35,750,1180,,,,,,,,,,,,,Walkover,2.75,1.44,2.8,1.5,2.8,1.5,2.71,1.45
33,Stuttgart,Stuttgart Open,14/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Berrettini M.,Duckworth J.,95,101,630,611,6,4,7,5,,,,,,,2,0,Completed,1.2,4.5,1.26,4.39,1.26,4.5,1.22,4.13
33,Stuttgart,Stuttgart Open,14/06/2024,ATP250,Outdoor,Grass,Quarterfinals,3,Musetti L.,Bublik A.,30,17,1290,2150,4,6,6,1,1,0,,,,,1,1,Retired,2.75,1.44,3.05,1.43,3.05,1.5,2.75,1.44
33,Stuttgart,Stuttgart Open,15/06/2024,ATP250,Outdoor,Grass,Semifinals,3,Draper J.,Nakashima B.,40,70,1131,750,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.55,2.64,1.55,2.89,1.47,2.63
33,Stuttgart,Stuttgart Open,15/06/2024,ATP250,Outdoor,Grass,Semifinals,3,Berrettini M.,Musetti L.,95,30,630,1290,6,4,6,0,,,,,,,2,0,Completed,1.36,3.2,1.44,3.04,1.44,3.2,1.39,2.96
33,Stuttgart,Stuttgart Open,16/06/2024,ATP250,Outdoor,Grass,The Final,3,Draper J.,Berrettini M.,40,95,1131,630,3,6,7,6,6,4,,,,,2,1,Completed,2.2,1.67,2.25,1.72,2.3,1.73,2.18,1.67
