ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
50,Tokyo,Japan Open Tennis Championships,24/09/2025,ATP500,Outdoor,Hard,1st Round,3,Berrettini M.,Munar J.,56,40,925,1138,6,4,6,2,,,,,,,2,0,Completed,2.3,1.62,2.26,1.71,2.33,1.64,2.27,1.61,2.4,1.68
50,Tokyo,Japan Open Tennis Championships,24/09/2025,ATP500,Outdoor,Hard,1st Round,3,Borges N.,Watanuki Y.,51,147,995,401,2,6,6,4,6,1,,,,,2,1,Completed,1.57,2.38,1.68,2.31,1.62,2.4,1.59,2.32,1.67,2.44
50,Tokyo,Japan Open Tennis Championships,24/09/2025,ATP500,Outdoor,Hard,1st Round,3,Altmaier D.,Shapovalov D.,50,26,1003,1838,7,5,6,3,,,,,,,2,0,Completed,3.4,1.33,3.61,1.33,3.5,1.34,3.29,1.33,3.65,1.37
50,Tokyo,Japan Open Tennis Championships,24/09/2025,ATP500,Outdoor,Hard,1st Round,3,Fucsovics M.,Tiafoe F.,58,29,916,1640,3,6,6,1,7,5,,,,,2,1,Completed,1.8,2,1.69,2.25,1.83,2.06,1.79,2,1.88,2.12
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Brooksby J.,Humbert U.,86,24,737,2045,7,6,6,3,,,,,,,2,0,Completed,2.5,1.53,2.18,1.76,2.5,1.64,2.32,1.59,2.44,1.64
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Darderi L.,Nishioka Y.,30,157,1584,374,7,6,6,3,,,,,,,2,0,Completed,1.62,2.3,1.71,2.25,1.67,2.3,1.64,2.24,1.67,2.38
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Korda S.,Giron M.,74,48,820,1040,4,6,6,3,7,6,,,,,2,1,Completed,1.53,2.5,1.58,2.52,1.57,2.5,1.54,2.44,1.64,2.52
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Shimabukuro S.,Machac T.,273,22,198,2110,6,3,7,6,,,,,,,2,0,Completed,3.5,1.3,3.64,1.33,4,1.3,3.55,1.29,4.1,1.31
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Fritz T.,Diallo G.,5,35,4675,1308,4,6,6,3,7,6,,,,,2,1,Completed,1.29,3.75,1.27,4.11,1.29,3.9,1.27,3.72,1.29,4.2
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Vukic A.,Dzumhur D.,95,66,668,868,6,4,3,6,6,3,,,,,2,1,Completed,1.53,2.5,1.55,2.6,1.53,2.75,1.5,2.55,1.54,2.78
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Nakashima B.,Thompson J.,33,78,1420,795,6,7,7,6,6,2,,,,,2,1,Completed,1.44,2.75,1.5,2.77,1.45,2.9,1.42,2.79,1.46,3.1
50,Tokyo,Japan Open Tennis Championships,25/09/2025,ATP500,Outdoor,Hard,1st Round,3,Quinn E.,Michelsen A.,81,32,773,1485,7,5,6,2,,,,,,,2,0,Completed,2.3,1.62,2.49,1.6,2.3,1.72,2.2,1.66,2.2,1.81
