ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Walton A.,Bonzi B.,88,66,706,905,4,6,6,0,6,3,,,,,2,1,Completed,1.87,1.87,1.93,1.95,1.93,2,1.84,1.92
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Ofner S.,74,141,827,433,7,6,7,5,,,,,,,2,0,Completed,1.53,2.5,1.52,2.65,1.53,2.65,1.5,2.55
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Tien L.,Smith C.,61,136,940,448,6,4,7,5,,,,,,,2,0,Completed,1.5,2.63,,,1.53,2.63,1.51,2.5
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Barrios M.,Monfils G.,143,48,425,1115,6,4,4,6,7,6,,,,,2,1,Completed,4,1.25,,,4,1.28,3.78,1.26
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Mpetshi G.,Mochizuki S.,43,122,1205,491,6,4,6,2,,,,,,,2,0,Completed,1.44,2.7,,,1.53,2.75,1.47,2.63
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Etcheverry T.,Herbert P.,60,142,960,431,6,4,4,6,7,5,,,,,2,1,Completed,1.5,2.6,,,1.53,2.6,1.5,2.56
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Ficovich J.P.,Fearnley J.,140,55,435,1007,6,2,6,3,,,,,,,2,0,Completed,4,1.25,,,5,1.25,4.14,1.22
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Safiullin R.,Blanchet U.,82,231,741,243,4,6,6,2,7,6,,,,,2,1,Completed,1.4,2.8,,,1.4,3.05,1.38,2.95
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Arseneault N.,Royer V.,638,111,51,579,6,3,7,6,,,,,,,2,0,Completed,7.5,1.08,,,9,1.1,7.31,1.09
43,Toronto,Canadian Open,27/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Nava E.,Bergs Z.,114,52,539,1049,6,1,7,6,,,,,,,2,0,Completed,2.3,1.62,2.35,1.65,2.35,1.68,2.23,1.63
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bagnis F.,Pospisil V.,689,1250,44,6,6,2,3,6,6,3,,,,,2,1,Completed,1.14,5,1.16,5.78,1.17,6,1.15,5.4
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Halys Q.,50,69,1106,886,4,6,6,4,7,5,,,,,2,1,Completed,1.53,2.5,1.58,2.53,1.58,2.53,1.54,2.42
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Duckworth J.,Shang J.,106,109,600,580,6,3,7,6,,,,,,,2,0,Completed,1.6,2.38,1.55,2.58,1.6,2.58,1.55,2.41
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Bu Y.,Kopriva V.,76,80,793,756,7,6,6,2,,,,,,,2,0,Completed,1.4,3,1.42,3.09,1.42,3.09,1.39,2.95
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,McDonald M.,Goffin D.,96,65,655,914,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.64,2.39,1.64,2.5,1.57,2.35
43,Toronto,Canadian Open,28/07/2025,Masters 1000,Outdoor,Hard,1st Round,3,Quinn E.,Nishioka Y.,86,131,726,459,7,6,6,2,,,,,,,2,0,Completed,1.7,2.1,1.85,2.04,1.85,2.14,1.72,2.08
