ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
41,Umag,Croatia Open,20/07/2025,ATP250,Outdoor,Clay,1st Round,3,Kopriva V.,Collignon R.,79,88,744,690,3,6,6,4,6,3,,,,,2,1,Completed,1.8,1.95,1.87,2.03,1.87,2.03,1.82,1.96
41,Umag,Croatia Open,20/07/2025,ATP250,Outdoor,Clay,1st Round,3,Passaro F.,Dodig M.,121,242,499,231,4,6,6,1,6,2,,,,,2,1,Completed,1.44,2.88,1.44,2.97,1.5,2.97,1.46,2.69
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Taberner C.,Herbert P.,111,140,581,431,6,4,7,6,,,,,,,2,0,Completed,1.5,2.5,1.54,2.63,1.57,2.63,1.51,2.5
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Tseng C.H.,Zeppieri G.,101,290,631,180,7,5,6,4,,,,,,,2,0,Completed,2.1,1.75,2.1,1.79,2.14,1.79,2.08,1.73
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Llamas Ruiz P.,Majchrzak K.,537,78,70,752,6,2,6,4,,,,,,,2,0,Completed,2.38,1.6,2.39,1.64,2.39,1.64,2.33,1.58
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Atmane T.,Lajovic D.,136,129,439,464,6,3,6,4,,,,,,,2,0,Completed,2.8,1.45,2.83,1.48,2.88,1.48,2.75,1.43
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Droguet T.,Garin C.,176,118,317,535,6,3,6,3,,,,,,,2,0,Completed,2.2,1.67,2.21,1.74,2.3,1.74,2.17,1.67
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Basilashvili N.,Carballes Baena R.,114,85,552,715,6,3,6,4,,,,,,,2,0,Completed,1.67,2.1,1.75,2.19,1.75,2.19,1.71,2.1
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Navone M.,Barrios M.,76,142,785,425,6,1,6,2,,,,,,,2,0,Completed,1.29,3.75,1.26,4.26,1.29,4.26,1.26,3.83
41,Umag,Croatia Open,21/07/2025,ATP250,Outdoor,Clay,1st Round,3,Wawrinka S.,Guillen Meza A.,156,244,357,228,6,4,6,1,,,,,,,2,0,Completed,1.53,2.5,1.58,2.53,1.58,2.63,1.53,2.48
41,Umag,Croatia Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,De Jong J.,Poljicak M.,83,277,730,193,6,3,6,3,,,,,,,2,0,Completed,1.3,3.6,1.3,3.87,1.33,3.87,1.3,3.49
41,Umag,Croatia Open,22/07/2025,ATP250,Outdoor,Clay,1st Round,3,Prizmic D.,Moller E.,143,107,420,601,6,4,6,2,,,,,,,2,0,Completed,1.7,2.1,1.72,2.23,1.72,2.23,1.68,2.16
41,Umag,Croatia Open,22/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Ugo Carabelli C.,Passaro F.,51,121,1058,499,6,7,6,2,6,3,,,,,2,1,Completed,1.87,1.95,1.88,2.01,1.91,2.02,1.84,1.93
41,Umag,Croatia Open,22/07/2025,ATP250,Outdoor,Clay,2nd Round,3,Llamas Ruiz P.,Atmane T.,537,136,70,439,6,3,6,3,,,,,,,2,0,Completed,0,0,1.49,2.81,1.49,2.81,1.45,2.69
41,Umag,Croatia Open,23/07/2025,ATP250,Outdoor,Clay,2nd Round,3,De Jong J.,Navone M.,83,76,730,785,6,3,6,4,,,,,,,2,0,Completed,2.8,1.45,2.97,1.44,2.97,1.45,2.78,1.43
