ATP	Location	Tournament	Date	Series	Court	Surface	Round	Best of	Winner	Loser	WRank	LRank	WPts	LPts	W1	L1	W2	L2	W3	L3	W4	L4	W5	L5	Wsets	Lsets	Comment	B365W	B365L	PSW	PSL	MaxW	MaxL	AvgW	AvgL
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Arnaldi M.	Altmaier D.	44	56	1215	973	4	6	6	2	7	6					2	1	Completed	1.62	2.2	1.7	2.27	1.7	2.3	1.65	2.2
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Marozsan F.	Bonzi B.	54	69	1030	905	7	5	6	1							2	0	Completed	1.67	2.25	1.65	2.36	1.67	2.36	1.62	2.26
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Quinn E.	O Connell C.	86	77	707	775	6	3	6	2							2	0	Completed	1.53	2.5	1.56	2.58	1.6	2.6	1.54	2.45
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Evans D.	Bergs Z.	144	52	415	1049	3	6	6	4	6	3					2	1	Completed	2.3	1.62	2.37	1.65	2.4	1.65	2.32	1.59
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Muller A.	Zhukayev B.	39	218	1271	253	6	4	6	4							2	0	Completed	1.4	2.9	1.44	2.99	1.44	3.2	1.4	2.91
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	McDonald M.	Smith C.	95	139	655	432	6	4	6	1							2	0	Completed	1.6	2.38	1.64	2.4	1.64	2.5	1.58	2.35
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Norrie C.	Harris B.	41	148	1227	402	6	3	7	6							2	0	Completed	1.2	4.5	1.23	4.56	1.23	5	1.19	4.64
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Opelka R.	Cassone M.	74	185	827	299	7	6	6	7	6	3					2	1	Completed	1.36	3.2	1.42	3.09	1.42	3.3	1.35	3.15
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Tien L.	Nava E.	67	116	912	539	6	1	6	4							2	0	Completed	1.67	2.2	1.68	2.31	1.68	2.38	1.63	2.23
42	Washington	Citi Open	21/07/2025	ATP500	Outdoor	Hard	1st Round	3	Nishioka Y.	Brooksby J.	89	102	684	627	6	4	5	7	6	1					2	1	Completed	3.4	1.33	3.31	1.37	3.4	1.37	3.22	1.34
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Vukic A.	Mpetshi G.	105	45	614	1205	6	4	3	6	6	3					2	1	Completed	2.4	1.57	2.43	1.62	2.5	1.63	2.36	1.58
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Bu Y.	Goffin D.	75	60	812	939	6	4	7	5							2	0	Completed	1.5	2.6	1.55	2.6	1.57	2.6	1.52	2.47
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Svajda Z.	Kecmanovic M.	153	49	371	1106	1	6	6	2	6	2					2	1	Completed	2.6	1.5	2.57	1.56	2.75	1.56	2.61	1.48
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Wu Y.	Monfils G.	243	48	228	1115	6	3	6	1							2	0	Completed	2.75	1.44	2.74	1.51	2.75	1.51	2.67	1.46
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Kovacevic A.	Halys Q.	66	71	914	886	6	2	3	6	6	3					2	1	Completed	1.83	2	1.9	1.99	1.9	2	1.83	1.94
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	1st Round	3	Munar J.	Giron M.	50	57	1062	960	7	5	6	3							2	0	Completed	2.1	1.75	2.1	1.81	2.1	1.81	2.06	1.74
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Nakashima B.	Quinn E.	32	86	1650	707	6	3	6	4							2	0	Completed	1.4	3	1.47	2.93	1.47	3.05	1.39	2.94
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Norrie C.	Musetti L.	41	7	1227	3350	3	6	6	2	6	3					2	1	Completed	2.1	1.7	2.22	1.74	2.28	1.74	2.17	1.67
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Diallo G.	Marozsan F.	35	54	1358	1030	6	3	6	4							2	0	Completed	1.6	2.38	1.63	2.43	1.63	2.43	1.59	2.32
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Shelton B.	McDonald M.	8	95	3330	655	6	3	6	4							2	0	Completed	1.29	3.75	1.28	4.16	1.29	4.33	1.24	3.97
42	Washington	Citi Open	22/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Evans D.	Michelsen A.	144	34	415	1555	6	4	6	4							2	0	Completed	3.1	1.33	3.51	1.35	3.51	1.35	3.25	1.33
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Moutet C.	Muller A.	59	39	944	1271	6	0	6	1							2	0	Completed			1.96	1.93	1.96	1.93	1.89	1.87
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Lehecka J.	Svajda Z.	25	153	2015	371	6	4	6	7	6	3					2	1	Completed	1.45	2.63	1.41	3.19	1.45	3.25	1.36	3.1
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Wu Y.	Popyrin A.	243	24	228	2050	7	5	5	7	6	3					2	1	Completed	2.25	1.6	2.07	1.85	2.25	1.85	2.01	1.78
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Medvedev D.	Opelka R.	14	74	2630	827	3	6	7	5	6	1					2	1	Completed	1.33	3.1	1.31	3.81	1.33	3.81	1.29	3.48
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Arnaldi M.	Sonego L.	44	37	1215	1321	7	5	7	5							2	0	Completed	2.05	1.8	1.99	1.91	2.05	1.91	1.99	1.8
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	De Minaur A.	Bu Y.	13	75	2885	812	7	6	6	2							2	0	Completed	1.18	5	1.16	6.09	1.18	6.09	1.15	5.44
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Fritz T.	Vukic A.	4	105	5035	614	6	3	6	2							2	0	Completed	1.13	5.5	1.14	6.84	1.14	6.84	1.12	6.11
42	Washington	Citi Open	23/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Tien L.	Rublev A.	67	10	912	3160	7	5	6	2							2	0	Completed	2.8	1.45	2.81	1.5	2.81	1.5	2.73	1.44
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Cobolli F.	Nishioka Y.	18	89	2360	684	6	2	7	6							2	0	Completed	1.36	3.1	1.41	3.18	1.41	3.2	1.36	3.05
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Davidovich Fokina A.	Munar J.	26	50	1945	1062	6	4	6	2							2	0	Completed	1.75	2.1	1.78	2.16	1.79	2.16	1.75	2.04
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	2nd Round	3	Tiafoe F.	Kovacevic A.	11	66	2940	914	7	5	3	6	6	3					2	1	Completed	1.4	3	1.44	3.03	1.44	3.05	1.39	2.97
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	3rd Round	3	Medvedev D.	Wu Y.	14	243	2630	228	6	3	6	2							2	0	Completed	1.25	4	1.26	4.22	1.26	4.22	1.25	3.91
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	3rd Round	3	Nakashima B.	Norrie C.	32	41	1650	1227	7	6	6	3							2	0	Completed	1.87	1.87	1.86	2.05	1.87	2.14	1.74	2.07
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	3rd Round	3	Moutet C.	Evans D.	59	144	944	415	6	2	7	6							2	0	Completed	1.45	2.8	1.48	2.88	1.48	3	1.43	2.77
42	Washington	Citi Open	24/07/2025	ATP500	Outdoor	Hard	3rd Round	3	De Minaur A.	Lehecka J.	13	25	2885	2015	7	6	6	7	6	4					2	1	Completed	1.53	2.5	1.54	2.62	1.54	2.63	1.51	2.53
