ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Kopriva V.,Ofner S.,87,141,726,453,3,6,6,4,6,3,,,,,2,1,Completed,2.4,1.53,2.44,1.61,2.6,1.56,2.44,1.53
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Jarry N.,78,103,794,628,7,6,6,4,,,,,,,2,0,Completed,1.95,1.87,1.93,1.95,2,1.91,1.92,1.85
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Goffin D.,64,68,910,884,6,3,6,3,,,,,,,2,0,Completed,2.1,1.75,2.12,1.79,2.2,1.75,2.08,1.72
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Walton A.,92,82,684,763,2,6,7,5,6,3,,,,,2,1,Completed,2.1,1.75,2.14,1.78,2.1,1.76,2.06,1.73
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Medjedovic H.,Rinderknech A.,65,77,907,794,6,3,7,6,,,,,,,2,0,Completed,1.53,2.5,1.55,2.57,1.53,2.6,1.52,2.5
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Bu Y.,Tseng C.H.,76,119,801,529,6,7,6,3,7,6,,,,,2,1,Completed,1.29,3.75,1.29,3.9,1.3,4.75,1.27,3.71
45,Winston-Salem,Winston-Salem Open at Wake Forest University,17/08/2025,ATP250,Outdoor,Hard,1st Round,3,Carreno Busta P.,Nishioka Y.,113,149,549,399,6,0,6,3,,,,,,,2,0,Completed,1.62,2.3,1.68,2.31,1.65,2.75,1.58,2.34
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,McDonald M.,Holt B.,102,111,639,554,6,4,6,7,7,6,,,,,2,1,Completed,1.4,3,1.41,3.11,1.4,3.2,1.38,2.98
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Basavareddy N.,Collignon R.,106,105,593,608,6,2,7,6,,,,,,,2,0,Completed,,,1.36,3.42,1.37,3.3,1.34,3.16
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Safiullin R.,79,90,784,691,6,3,6,3,,,,,,,2,0,Completed,2.5,1.5,2.69,1.52,2.75,1.55,2.51,1.51
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Blanch Dar.,Coric B.,409,104,115,620,6,4,7,6,,,,,,,2,0,Completed,,,2.36,1.65,2.6,1.6,2.4,1.55
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Gaston H.,94,125,679,513,6,3,6,3,,,,,,,2,0,Completed,1.4,2.8,1.45,2.95,1.45,3,1.41,2.81
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Misolic F.,71,95,859,677,7,6,7,6,,,,,,,2,0,Completed,1.6,2.38,1.64,2.39,1.65,2.38,1.58,2.31
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Navone M.,Suresh D.,74,645,810,50,6,3,6,3,,,,,,,2,0,Completed,,,1.44,3,1.45,3,1.41,2.83
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,1st Round,3,Bellucci M.,Comesana F.,63,54,911,962,6,4,6,3,,,,,,,2,0,Completed,2.1,1.75,2.16,1.77,2.1,2.2,2.03,1.77
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,1st Round,3,Dostanic S.,Vukic A.,412,93,114,683,6,4,6,2,,,,,,,2,0,Completed,,,3.12,1.4,3.85,1.29,3.65,1.28
45,Winston-Salem,Winston-Salem Open at Wake Forest University,18/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Kopriva V.,86,87,735,726,6,3,6,4,,,,,,,2,0,Completed,,,1.45,2.95,1.42,3,1.39,2.89
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Majchrzak K.,Borges N.,78,42,794,1145,6,1,6,3,,,,,,,2,0,Completed,,,2.11,1.79,2.1,1.77,2.07,1.73
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,O Connell C.,47,79,1060,784,6,4,0,0,,,,,,,1,0,Retired,1.57,2.38,1.57,2.52,1.6,2.45,1.56,2.38
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Blanch Dar.,38,409,1193,115,6,7,6,3,7,5,,,,,2,1,Completed,1.57,2.4,1.59,2.47,1.57,2.6,1.53,2.46
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,Griekspoor T.,94,31,679,1655,6,3,4,6,6,3,,,,,2,1,Completed,2,1.8,2.18,1.74,2.1,1.8,2.03,1.76
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Martinez P.,39,64,1185,910,2,6,6,3,7,6,,,,,2,1,Completed,1.45,2.63,1.52,2.7,1.5,2.75,1.45,2.68
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Diallo G.,Basavareddy N.,33,106,1388,593,,,,,,,,,,,,,Walkover,1.57,2.38,1.63,2.39,1.6,2.45,1.56,2.37
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Medjedovic H.,Fearnley J.,65,59,907,939,6,4,7,6,,,,,,,2,0,Completed,1.45,2.63,1.49,2.79,1.5,2.75,1.47,2.63
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Kovacevic A.,45,71,1086,859,6,4,7,6,,,,,,,2,0,Completed,1.67,2.2,1.72,2.2,1.67,2.25,1.65,2.19
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Navone M.,Giron M.,74,55,810,960,6,2,6,2,,,,,,,2,0,Completed,2.2,1.62,2.28,1.68,2.75,1.67,2.23,1.63
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Darderi L.,McDonald M.,34,102,1364,639,7,6,6,7,6,4,,,,,2,1,Completed,2.05,1.75,2.07,1.83,2.1,1.84,2.02,1.76
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Arnaldi M.,92,62,684,915,6,3,6,3,,,,,,,2,0,Completed,2,1.8,2.1,1.81,2.1,1.8,2.03,1.75
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Baez S.,Carreno Busta P.,40,113,1160,549,7,5,6,2,,,,,,,2,0,Completed,2.8,1.4,2.92,1.46,2.9,1.45,2.76,1.43
45,Winston-Salem,Winston-Salem Open at Wake Forest University,19/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Bellucci M.,46,63,1077,911,6,3,6,1,,,,,,,2,0,Completed,1.7,2.1,1.69,2.28,1.95,2.3,1.7,2.12
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Bu Y.,Tsitsipas S.,76,28,801,1790,6,3,6,2,,,,,,,2,0,Completed,2.7,1.45,2.73,1.51,2.75,1.5,2.66,1.46
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,2nd Round,3,Sonego L.,Dostanic S.,35,412,1315,114,6,3,6,7,7,6,,,,,2,1,Completed,1.17,4.75,1.21,4.91,1.2,5,1.18,4.69
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Korda S.,Majchrzak K.,86,78,735,794,6,7,6,3,6,4,,,,,2,1,Completed,,,1.72,2.23,1.77,2.1,1.74,2.04
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Kecmanovic M.,Darderi L.,45,34,1086,1364,6,3,6,1,,,,,,,2,0,Completed,,,1.51,2.74,1.55,2.75,1.49,2.6
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Fucsovics M.,Bautista Agut R.,94,47,679,1060,6,4,6,3,,,,,,,2,0,Completed,1.7,2.1,1.74,2.21,1.75,2.25,1.71,2.09
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Mpetshi G.,Muller A.,39,38,1185,1193,6,3,6,2,,,,,,,2,0,Completed,1.83,1.95,1.88,2.01,2,2,1.84,1.93
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Medjedovic H.,Diallo G.,65,33,907,1388,6,4,6,2,,,,,,,2,0,Completed,2.1,1.7,2.17,1.76,2.12,1.74,2.08,1.72
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Munar J.,Sonego L.,46,35,1077,1315,4,6,6,4,6,1,,,,,2,1,Completed,1.67,2.2,1.68,2.29,1.7,2.4,1.65,2.21
45,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Bu Y.,Navone M.,76,74,801,810,6,4,6,4,,,,,,,2,0,Completed,1.7,2.1,1.7,2.24,1.71,2.2,1.67,2.16
45,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2025,ATP250,Outdoor,Hard,3rd Round,3,Van De Zandschulp B.,Baez S.,92,40,684,1160,0,6,6,1,6,4,,,,,2,1,Completed,1.4,2.88,1.44,2.99,1.45,3,1.41,2.85
45,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Kecmanovic M.,86,45,735,1086,6,1,6,4,,,,,,,2,0,Completed,1.75,2.05,1.84,2.08,1.8,2.1,1.75,2.03
45,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Fucsovics M.,Munar J.,94,46,679,1077,7,5,6,3,,,,,,,2,0,Completed,2.1,1.7,2.28,1.71,2.25,1.74,2.1,1.71
45,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Mpetshi G.,Medjedovic H.,39,65,1185,907,7,6,6,2,,,,,,,2,0,Completed,2.8,1.44,2.94,1.46,2.8,1.47,2.7,1.44
45,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Van De Zandschulp B.,Bu Y.,92,76,684,801,6,3,5,7,6,3,,,,,2,1,Completed,1.91,1.83,1.99,1.89,2,8.5,1.83,2.58
45,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2025,ATP250,Outdoor,Hard,Semifinals,3,Fucsovics M.,Korda S.,94,86,679,735,,,,,,,,,,,,,Walkover,2.5,1.5,2.68,1.53,2.7,1.5,2.58,1.48
45,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2025,ATP250,Outdoor,Hard,Semifinals,3,Van De Zandschulp B.,Mpetshi G.,92,39,684,1185,6,4,7,5,,,,,,,2,0,Completed,,,2.34,1.66,2.4,1.62,2.32,1.58
45,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2025,ATP250,Outdoor,Hard,The Final,3,Fucsovics M.,Van De Zandschulp B.,94,92,679,684,6,3,7,6,,,,,,,2,0,Completed,1.8,2,1.8,2.13,1.8,2.1,1.76,2.03
